date,ticker,rss_text,sent_label,sent_conf,sent_score
2011-01-03,IBM,IBM RSS synthetic seed,positive,1.0,1.0
2011-01-03,NVDA,NVDA RSS synthetic seed,neutral,1.0,0.0
2011-01-03,GM,GM RSS synthetic seed,negative,1.0,-1.0
2011-01-03,BLK,BLK RSS synthetic seed,positive,1.0,1.0
2011-01-03,COST,COST RSS synthetic seed,neutral,1.0,0.0
2011-01-04,IBM,IBM RSS synthetic seed,negative,1.0,-1.0
2011-01-04,NVDA,NVDA RSS synthetic seed,positive,1.0,1.0
2011-01-04,GM,GM RSS synthetic seed,neutral,1.0,0.0
2011-01-04,BLK,BLK RSS synthetic seed,negative,1.0,-1.0
2011-01-04,COST,COST RSS synthetic seed,positive,1.0,1.0
2011-01-05,IBM,IBM RSS synthetic seed,neutral,1.0,0.0
2011-01-05,NVDA,NVDA RSS synthetic seed,negative,1.0,-1.0
2011-01-05,GM,GM RSS synthetic seed,positive,1.0,1.0
2011-01-05,BLK,BLK RSS synthetic seed,neutral,1.0,0.0
2011-01-05,COST,COST RSS synthetic seed,negative,1.0,-1.0
2011-01-06,IBM,IBM RSS synthetic seed,positive,1.0,1.0
2011-01-06,NVDA,NVDA RSS synthetic seed,neutral,1.0,0.0
2011-01-06,GM,GM RSS synthetic seed,negative,1.0,-1.0
2011-01-06,BLK,BLK RSS synthetic seed,positive,1.0,1.0
2011-01-06,COST,COST RSS synthetic seed,neutral,1.0,0.0
2011-01-07,IBM,IBM RSS synthetic seed,negative,1.0,-1.0
2011-01-07,NVDA,NVDA RSS synthetic seed,positive,1.0,1.0
2011-01-07,GM,GM RSS synthetic seed,neutral,1.0,0.0
2011-01-07,BLK,BLK RSS synthetic seed,negative,1.0,-1.0
2011-01-07,COST,COST RSS synthetic seed,positive,1.0,1.0
2011-01-10,IBM,IBM RSS synthetic seed,neutral,1.0,0.0
2011-01-10,NVDA,NVDA RSS synthetic seed,negative,1.0,-1.0
2011-01-10,GM,GM RSS synthetic seed,positive,1.0,1.0
2011-01-10,BLK,BLK RSS synthetic seed,neutral,1.0,0.0
2011-01-10,COST,COST RSS synthetic seed,negative,1.0,-1.0
2011-01-11,IBM,IBM RSS synthetic seed,positive,1.0,1.0
2011-01-11,NVDA,NVDA RSS synthetic seed,neutral,1.0,0.0
2011-01-11,GM,GM RSS synthetic seed,negative,1.0,-1.0
2011-01-11,BLK,BLK RSS synthetic seed,positive,1.0,1.0
2011-01-11,COST,COST RSS synthetic seed,neutral,1.0,0.0
2011-01-12,IBM,IBM RSS synthetic seed,negative,1.0,-1.0
